SN,true_label,prediction,modality,kfold_of_pred
ZTF22aatunnt_0,0,0.0,lightcurveandspectral,1
ZTF22abztcly_0,0,0.0,lightcurve,1
ZTF22abztcly_0,0,0.0,spectral,1
ZTF22abztcly_0,0,0.0,lightcurveandspectral,1
ZTF22hnts12x_0,1,1.0,lightcurve,1
ZTF22hnts12x_0,1,1.0,spectral,1
ZTF22hnts12x_0,1,1.0,lightcurveandspectral,1
ZTF22qzrs05x_0,1,0.0,lightcurve,1
ZTF22qzrs05x_0,1,1.0,spectral,1
ZTF22qzrs05x_0,1,1.0,lightcurveandspectral,1
ZTF22qzrs25x_0,1,0.0,lightcurve,1
ZTF22qzrs25x_0,1,1.0,spectral,1
ZTF22qzrs25x_0,1,1.0,lightcurveandspectral,1
ZTF23aaazffe_0,0,1.0,lightcurve,1
ZTF23aaazffe_0,0,0.0,spectral,1
ZTF23aaazffe_0,0,0.0,lightcurveandspectral,1
ZTF23aajakys_0,0,1.0,lightcurve,1
ZTF23aajakys_0,0,0.0,spectral,1
ZTF23aajakys_0,0,0.0,lightcurveandspectral,1
ZTF23aazjwtl_0,1,1.0,lightcurve,1
ZTF23aazjwtl_0,1,0.0,spectral,1
ZTF23aazjwtl_0,1,0.0,lightcurveandspectral,1
ZTF23aazuzip_0,0,0.0,lightcurve,1
ZTF23aazuzip_0,0,0.0,spectral,1
ZTF23aazuzip_0,0,0.0,lightcurveandspectral,1
ZTF23abbpswf_0,0,0.0,lightcurve,1
ZTF23abbpswf_0,0,0.0,spectral,1
ZTF23abbpswf_0,0,0.0,lightcurveandspectral,1
ZTF19ackjszs_0,1,1.0,lightcurve,2
ZTF19ackjszs_0,1,0.0,spectral,2
ZTF19ackjszs_0,1,0.0,lightcurveandspectral,2
ZTF19ackjszs_1,1,1.0,lightcurve,2
ZTF19ackjszs_1,1,0.0,spectral,2
ZTF19ackjszs_1,1,0.0,lightcurveandspectral,2
ZTF19ackjszs_2,1,1.0,lightcurve,2
ZTF19ackjszs_2,1,0.0,spectral,2
ZTF19ackjszs_2,1,1.0,lightcurveandspectral,2
ZTF20aaekkuv_0,0,1.0,lightcurve,2
ZTF20aaekkuv_0,0,0.0,spectral,2
ZTF20aaekkuv_0,0,0.0,lightcurveandspectral,2
ZTF20aahggbm_0,0,0.0,lightcurve,2
ZTF20aahggbm_0,0,0.0,spectral,2
ZTF20aahggbm_0,0,0.0,lightcurveandspectral,2
ZTF20aahggbm_1,0,0.0,lightcurve,2
ZTF20aahggbm_1,0,0.0,spectral,2
ZTF20aahggbm_1,0,0.0,lightcurveandspectral,2
ZTF20aahggbm_2,0,0.0,lightcurve,2
ZTF20aahggbm_2,0,0.0,spectral,2
